内容,时间
学长我能加一下你q吗,2020-03-12 22:05
学长知道校选修课没过有什么影响么,2020-03-12 22:26
有没有组固定队伍的？贴主也平时兼职一下，一天有时候运气好赚个两三百，再不好也能挣个一百多，有兴趣可以，加我企鹅：2686719017,2020-07-06 14:08
郑州大学考研药学需要学位证吗？,2020-07-15 21:52
我想问一下报重修了，但是没有缴费，会有什么后果，这学期不缴费，下学期还可以吗，在线等，比较急,2020-07-15 22:38
学长 请问有导师推荐吗 好相处的那种,2023-02-22 21:02
,2022-03-04 09:16
你好 请问可以咨询药学方面问题吗,2023-02-22 20:48
想进长垣老乡群#考研##租房#,2022-03-14 11:31
学长 想咨询药学专硕的问题 有导师推荐吗 好相处的,2023-02-22 20:48
#2023药学考研#本人是2022届药学考研的，考到了郑州大学。专业课是349药学综合，我考研期间买了学长学姐的专业课资料，觉得药物化学写的不是很好，我就自己花费一个月写了一套，内容质量绝对可以。有兴趣的可以加我QQ861683196咨询。价格超低享受无价的服务#药学考研#,2022-07-01 17:06
请问能推荐导师吗 好相处的,2023-02-22 20:47
如题，本人系郑州大学19级药学院学生，报名了本校预推免，还有几天就要复试了，本科成绩在保研边缘，基础不牢，复试没有底，两眼一抹黑，蹲好心的学长学姐指导一下复试，有偿的，求求啦，联系QQ：3254791760，再次求求啦,2022-09-24 12:16
是因为保研名额扩容了吗,2022-09-25 00:38
请问有好的导师推荐吗,2023-02-22 20:46
请问有药学专硕导师推荐吗 想要好相处的导师,2023-02-22 20:45
,2023-02-22 20:29
数十年硕士录取经验，提供专业的复试指导和个性化调剂信息，给自己一个录取的机会！,2023-02-22 20:30
